数据库：分省年度数据
指标：人口自然增长率(‰)
时间：最近10年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,0.01,-0.50,-0.05,0.96,1.80,2.63,2.66,3.76,4.12,3.01
天津市,-1.97,-2.57,-1.68,-0.93,0.07,1.43,1.25,2.60,1.83,0.23
河北省,-2.32,-2.79,-1.71,-0.43,0.94,4.71,4.88,6.60,6.06,5.56
山西省,-1.39,-2.25,-0.98,-0.26,1.24,3.27,4.31,5.61,4.77,4.42
内蒙古自治区,-2.84,-3.42,-2.25,-1.28,-0.10,2.57,2.40,3.73,3.34,2.40
辽宁省,-5.30,-5.63,-4.96,-4.18,-3.43,-0.80,-1.00,-0.44,-0.18,-0.42
吉林省,-4.85,-5.41,-4.07,-3.38,-2.97,-0.85,0.36,0.26,-0.05,0.34
黑龙江省,-6.34,-6.92,-5.75,-5.11,-4.48,-1.01,-0.69,-0.41,-0.49,-0.60
上海市,-1.53,-2.42,-1.61,-0.92,-0.56,1.50,1.80,2.80,4.00,2.45
江苏省,-2.50,-2.74,-1.81,-1.12,0.16,2.08,2.29,2.68,2.73,2.02
浙江省,-0.36,-0.86,0.04,1.00,0.57,4.99,5.44,6.36,5.70,5.02
安徽省,-2.24,-2.11,-0.93,0.05,1.49,5.99,6.45,8.17,7.06,6.98
福建省,0.24,-0.14,0.55,1.98,2.97,6.80,7.00,8.80,8.30,7.80
江西省,-0.58,-0.84,0.25,1.63,2.87,6.56,7.37,7.71,7.29,6.96
山东省,-1.67,-2.18,-0.93,0.02,1.31,4.27,6.08,10.14,10.84,5.88
河南省,-0.11,-0.94,-0.08,0.64,2.09,4.18,4.92,5.98,6.15,5.65
湖北省,-3.14,-3.15,-2.01,-0.88,0.61,4.27,4.54,5.59,5.07,4.91
湖南省,-3.04,-3.08,-2.31,-1.15,0.61,3.11,5.11,6.19,6.56,6.72
广东省,3.69,2.76,3.33,4.52,5.58,8.08,8.24,9.16,7.44,6.80
广西壮族自治区,0.88,0.42,1.43,2.88,4.90,7.17,8.16,8.92,7.87,7.90
海南省,3.06,2.81,2.44,3.73,4.51,6.76,8.47,8.72,8.57,8.57
重庆市,-2.88,-3.32,-2.11,-1.55,-0.23,2.91,3.48,3.91,4.53,3.86
四川省,-3.02,-3.12,-2.65,-1.89,-0.88,3.61,4.04,4.23,3.49,3.36
贵州省,3.00,2.88,3.71,4.98,6.53,6.70,7.05,7.10,6.50,5.80
云南省,0.17,-0.39,-0.07,1.23,3.04,6.43,6.87,6.85,6.61,6.40
西藏自治区,8.43,7.96,8.76,8.70,8.59,10.14,10.64,11.05,10.68,10.65
陕西省,-0.69,-1.31,-0.28,0.51,1.84,4.27,4.43,4.87,4.41,3.82
甘肃省,-0.90,-1.33,-0.04,1.42,2.64,3.85,4.42,6.02,6.00,6.21
青海省,2.70,1.68,3.37,4.31,4.78,7.58,8.06,8.25,8.52,8.55
宁夏回族自治区,4.52,3.43,4.41,5.53,5.71,8.03,7.78,8.69,8.97,8.04
新疆维吾尔自治区,3.37,0.93,0.77,0.56,1.48,3.69,6.13,11.40,11.08,11.08
数据来源：国家统计局
