数据库：年度数据
"时间：2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
卫生总费用(亿元),90895.55,90575.81,85327.49,76844.99,72175.00,65841.39,59121.91,52598.28,46344.88,40974.64
政府卫生支出(亿元),22608.01,24147.89,24040.89,20676.06,21941.90,18016.95,16399.13,15205.87,13910.31,12475.28
社会卫生支出(亿元),43280.01,41676.80,38345.67,34963.26,30273.67,29150.57,25810.78,22258.81,19096.68,16506.71
个人现金卫生支出(亿元),25007.53,24751.13,22940.94,21205.67,19959.43,18673.87,16911.99,15133.60,13337.90,11992.65
人均卫生费用(元),6454.37,6425.32,6044.09,5439.97,5112.34,4669.34,4206.74,3756.72,3328.61,2962.18
城市人均卫生费用(元),,,,,,,,,,
农村人均卫生费用(元),,,,,,,,,,
注：1.按当年价格核算数，2019年为初步测算数。
　　　2.2001年起卫生总费用不含高等医学教育经费，2006年起包括城乡医疗救助经费。
数据来源：国家统计局
