数据库：分省年度数据
指标：地方财政医疗卫生支出(亿元)
时间：最近10年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,647.55,704.86,775.82,632.67,605.64,534.41,490.09,427.87,397.95,370.52
天津市,196.24,211.48,176.61,182.58,175.49,197.86,192.76,182.10,203.23,195.02
河北省,821.28,929.84,925.30,853.49,817.27,695.07,691.33,605.10,547.86,535.09
山西省,476.61,516.56,495.05,416.78,433.55,366.68,358.99,321.34,300.86,290.71
内蒙古自治区,426.79,473.25,433.78,362.73,375.05,322.18,315.62,323.48,284.63,257.15
辽宁省,449.28,425.97,466.59,399.25,413.52,364.54,350.62,336.63,307.31,281.96
吉林省,319.11,361.89,381.65,279.72,300.20,281.69,281.22,279.22,273.62,245.81
黑龙江省,425.24,442.26,436.55,392.28,401.19,314.42,301.00,297.17,280.56,273.96
上海市,732.22,881.74,1308.26,633.12,545.06,493.44,470.12,412.18,383.10,303.46
江苏省,1228.79,1384.06,1442.51,1183.71,1007.47,906.01,845.32,789.52,712.77,649.31
浙江省,988.46,1148.02,1236.08,908.04,838.85,735.61,626.20,584.17,542.44,485.50
安徽省,768.43,813.92,808.08,732.00,761.62,687.36,627.10,597.74,480.12,485.60
福建省,566.86,620.40,606.35,533.63,521.96,467.76,441.70,420.44,377.58,351.19
江西省,681.71,718.51,707.78,643.27,642.36,630.99,585.47,492.59,438.72,398.79
山东省,1177.40,1253.98,1234.10,1092.72,1045.50,912.07,885.15,829.27,790.19,701.43
河南省,1109.37,1140.93,1161.28,1018.59,1085.39,986.78,928.95,836.66,778.01,717.74
湖北省,753.78,827.24,799.47,706.33,1019.71,601.82,575.74,614.69,588.90,515.25
湖南省,829.22,869.10,820.61,739.92,737.62,661.58,627.10,585.98,546.27,493.74
广东省,1626.91,2021.59,2081.25,1857.10,1772.99,1579.60,1407.51,1307.56,1121.83,918.36
广西壮族自治区,626.15,714.99,635.61,613.75,624.84,565.29,546.52,512.31,468.18,413.87
海南省,212.31,247.92,251.52,194.17,220.09,169.80,144.46,127.37,114.17,100.54
重庆市,435.67,493.44,484.87,427.72,434.45,383.26,372.79,353.79,331.18,313.98
四川省,1172.45,1231.90,1170.92,1044.14,1030.52,943.27,880.89,831.46,772.24,686.42
贵州省,597.00,632.26,583.59,542.07,565.66,534.78,481.80,436.21,392.51,360.80
云南省,731.97,772.45,725.88,725.99,711.34,608.50,575.42,546.99,466.98,422.66
西藏自治区,172.89,188.68,189.88,115.26,144.37,123.05,106.93,93.80,69.97,62.80
陕西省,633.82,679.03,664.04,565.72,509.17,466.29,455.31,418.27,381.66,369.38
甘肃省,419.10,443.28,402.29,390.38,370.24,326.41,313.53,289.24,273.25,250.10
青海省,180.47,197.72,177.44,176.33,172.09,148.23,141.60,125.21,103.06,99.43
宁夏回族自治区,126.88,146.46,137.44,110.72,118.57,106.49,105.55,97.98,82.03,74.11
新疆维吾尔自治区,518.79,605.57,595.56,445.02,471.66,302.36,286.14,266.71,256.43,244.01
数据来源：国家统计局
