数据库：分省年度数据
指标：医疗卫生机构床位数(万张)
时间：最近10年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,14.11,13.88,13.39,13.03,12.70,12.78,12.36,12.06,11.70,11.16
天津市,7.32,7.25,6.85,6.87,6.83,6.83,6.82,6.84,6.58,6.37
河北省,54.69,53.40,48.57,45.50,44.20,43.01,42.19,39.50,36.05,34.21
山西省,22.99,23.23,22.84,22.89,22.37,21.84,20.83,19.75,18.97,18.32
内蒙古自治区,17.36,17.31,16.77,16.66,16.21,16.11,15.90,15.03,13.92,13.39
辽宁省,33.77,33.42,32.62,32.45,31.45,31.38,31.44,29.86,28.44,26.70
吉林省,17.77,18.37,17.72,17.65,17.31,17.03,16.70,15.37,15.12,14.45
黑龙江省,27.30,27.33,26.13,26.05,25.33,26.26,25.01,24.17,22.01,21.26
上海市,18.61,17.50,16.53,16.04,15.22,14.65,13.90,13.46,12.92,12.28
江苏省,60.41,57.88,56.30,54.86,53.50,51.60,49.15,46.92,44.31,41.36
浙江省,41.32,40.61,38.17,36.99,36.13,35.02,33.21,31.35,28.99,27.25
安徽省,44.90,45.35,44.40,41.10,40.78,34.74,32.81,30.57,28.17,26.74
福建省,24.89,24.21,23.24,22.38,21.68,20.22,19.25,18.24,17.48,17.30
江西省,34.05,34.07,31.45,30.73,28.58,26.71,24.95,23.40,20.91,19.78
山东省,76.10,73.86,69.36,67.39,64.69,62.97,60.85,58.48,54.10,51.94
河南省,76.51,77.74,75.22,72.13,66.72,64.01,60.85,55.90,52.15,48.96
湖北省,47.58,47.61,45.03,43.40,41.14,40.33,39.35,37.62,36.06,34.31
湖南省,52.32,53.39,54.45,53.27,51.99,50.63,48.24,45.23,42.58,39.70
广东省,64.44,62.86,60.83,58.90,56.48,54.52,51.69,49.21,46.51,43.57
广西壮族自治区,37.73,36.20,34.17,31.90,29.56,27.74,25.59,24.11,22.45,21.45
海南省,6.15,6.09,6.12,6.14,5.85,4.98,4.48,4.20,4.03,3.87
重庆市,24.79,25.56,25.08,24.07,23.55,23.18,22.01,20.64,19.09,17.65
四川省,71.49,70.86,68.39,66.20,64.98,63.18,59.89,56.35,51.92,48.88
贵州省,32.48,31.54,30.97,29.69,27.64,26.50,24.56,23.30,21.03,19.64
云南省,37.42,35.99,34.12,33.03,32.52,31.19,29.12,27.48,25.36,23.76
西藏自治区,2.15,2.16,2.00,1.97,1.86,1.71,1.68,1.61,1.45,1.40
陕西省,30.97,30.62,28.96,28.45,27.24,26.58,25.37,24.13,22.54,21.19
甘肃省,20.77,20.40,18.89,18.32,17.19,18.12,16.27,14.66,13.43,12.77
青海省,4.78,4.57,4.29,4.22,4.13,4.14,3.91,3.83,3.47,3.45
宁夏回族自治区,4.43,4.35,4.18,4.12,4.13,4.10,4.10,3.98,3.63,3.38
新疆维吾尔自治区,20.22,19.75,17.96,18.61,18.15,18.64,17.89,16.76,15.69,15.03
数据来源：国家统计局
