数据库：分省年度数据
指标：医疗卫生机构数(个)
时间：最近10年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,11273,11487,10897,10699,10599,10336,10058,9976,9773,9771
天津市,6939,6799,6282,6076,5838,5962,5686,5539,5443,5223
河北省,93648,92825,90194,88162,86939,84651,85088,80912,78795,78594
山西省,38415,37849,39661,41007,41140,42162,42079,42490,42204,41002
内蒙古自治区,26768,25685,25062,24948,24549,24564,24610,24218,24002,23886
辽宁省,37137,34137,32679,33051,34131,34238,36029,35767,36131,35236
吉林省,26540,26161,25031,25344,25616,22198,22691,20828,20829,20612
黑龙江省,22535,21417,20599,20578,20461,20375,20349,20283,20375,20752
上海市,6421,6514,6404,6308,5897,5597,5293,5144,5016,5016
江苏省,41680,39536,37001,36448,35747,34796,33254,32037,32117,31925
浙江省,39593,37679,35967,35120,34400,34119,32754,31979,31546,31137
安徽省,32635,31361,30176,29554,29391,26435,24925,24491,24385,24853
福建省,30543,30023,29116,28693,28105,27788,27590,27217,27656,27921
江西省,39392,40129,35683,36764,36716,37029,36545,37791,38272,38557
山东省,90070,88186,86026,85715,84872,83616,81470,79050,76997,77259
河南省,86702,85044,81694,78536,74644,70734,71351,71089,71271,71394
湖北省,38897,38586,36782,36529,35447,35515,36486,36357,36354,36179
湖南省,57611,57503,55338,55677,56042,57230,56239,58624,61055,62646
广东省,66125,62819,59531,57964,55900,53900,51451,49874,49079,48320
广西壮族自治区,34685,34888,34500,34112,33875,33679,33742,34008,34253,34439
海南省,6382,6538,6384,6277,6127,5417,5325,5180,5144,5046
重庆市,23815,23389,22259,21361,20922,21057,20524,19682,19933,19806
四川省,74797,74975,74041,80249,82793,83756,81537,80481,79513,80109
贵州省,30869,30695,29150,29292,28880,28511,28066,28034,28017,28712
云南省,29667,28765,27528,26885,26626,25587,24954,24684,24234,24181
西藏自治区,7233,7058,6906,6907,6939,6940,6844,6826,6835,6814
陕西省,35426,35133,34779,34971,34983,35404,35300,35861,36598,37030
甘肃省,26741,25375,25266,25759,26204,26697,27897,28857,28197,27799
青海省,6914,6950,6376,6408,6407,6513,6396,6375,6291,6223
宁夏回族自治区,4986,4863,4607,4571,4574,4397,4450,4271,4254,4288
新疆维吾尔自治区,19112,18416,16999,16970,18158,18376,18450,18724,18825,18798
注：1.村卫生室数计入医疗卫生机构数中。
　　　2.2002年起，医疗卫生机构数不再包括高中等医学院校本部、药检机构、国境卫生检疫所和非卫生部门举办的计划生育指导站。
　　　3.2013年起，医疗卫生机构数包括原计生部门主管的计划生育技术服务机构。
数据来源：国家统计局
