数据库：分省年度数据
指标：医院病床使用率(%)
时间：最近10年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,80.5,80.3,67.9,73.2,60.9,82.6,83.4,82.4,82.2,80.6
天津市,76.5,74.6,63.3,68.4,61.6,79.8,77.5,78.1,82.1,81.6
河北省,68.6,71.6,64.3,68.9,70.8,81.3,82.7,83.7,86.3,83.6
山西省,71.2,71.2,62.6,67.0,65.9,76.6,79.6,77.6,75.9,76.9
内蒙古自治区,66.1,67.5,55.4,60.1,58.8,71.4,76.1,74.7,74.7,73.2
辽宁省,68.9,70.9,58.4,62.7,62.2,73.8,78.1,82.0,83.8,85.4
吉林省,68.8,71.2,58.6,66.4,61.1,76.2,76.0,77.6,78.3,78.5
黑龙江省,69.0,72.2,55.7,55.5,48.3,74.5,73.8,78.9,82.7,81.4
上海市,91.8,91.0,79.7,89.3,85.3,96.2,95.9,95.4,95.8,95.7
江苏省,79.6,81.1,74.5,77.2,76.1,85.7,86.4,87.5,87.3,88.6
浙江省,84.1,84.5,79.6,79.9,77.9,88.4,89.5,89.4,89.4,88.9
安徽省,75.5,76.0,68.4,70.7,72.4,83.1,83.3,86.2,84.8,85.0
福建省,79.9,79.6,72.7,73.6,71.6,82.8,83.9,83.1,81.9,82.6
江西省,76.7,77.5,73.0,76.2,75.7,84.8,86.7,85.8,89.4,90.4
山东省,78.1,79.2,68.7,75.3,71.0,80.7,82.5,83.4,85.0,84.3
河南省,80.3,83.1,73.1,80.1,78.1,88.1,87.6,88.4,87.9,87.2
湖北省,83.3,84.8,77.2,78.9,72.1,92.3,92.7,92.7,92.0,92.4
湖南省,82.9,79.6,74.8,77.6,76.2,83.7,84.3,85.2,86.0,86.4
广东省,80.2,78.8,72.2,74.3,71.1,82.2,83.0,84.0,84.0,83.5
广西壮族自治区,85.1,84.0,79.5,81.6,82.8,90.0,87.6,87.7,88.0,89.8
海南省,70.9,71.1,63.6,68.3,66.6,78.4,79.6,81.1,78.2,79.4
重庆市,81.6,81.9,75.9,78.2,74.7,82.2,82.2,84.1,84.4,86.8
四川省,85.8,86.0,79.1,82.2,79.0,89.4,88.7,91.3,90.2,89.6
贵州省,81.3,80.1,75.2,76.5,75.7,81.5,81.8,79.9,78.2,80.9
云南省,79.3,79.8,76.2,78.5,77.5,83.8,85.8,83.2,83.0,82.9
西藏自治区,59.5,54.4,48.6,56.6,56.2,64.8,64.6,72.1,74.5,73.2
陕西省,77.8,81.0,70.0,72.4,68.7,81.7,84.0,83.7,82.2,83.4
甘肃省,75.9,75.2,63.0,69.6,71.6,82.3,81.6,81.6,82.6,82.2
青海省,71.8,72.9,59.7,66.6,70.2,74.1,73.2,70.6,74.4,76.0
宁夏回族自治区,80.5,79.7,64.3,67.4,68.8,81.1,79.9,80.8,84.4,83.2
新疆维吾尔自治区,86.2,88.6,67.4,73.6,69.9,87.9,85.6,85.0,86.5,86.9
数据来源：国家统计局
