数据库：分省年度数据
指标：地方财政教育支出(亿元)
时间：最近10年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,1247.15,1227.90,1171.12,1147.83,1138.29,1137.18,1025.51,964.62,887.37,855.67
天津市,500.02,491.79,478.94,479.25,442.91,467.63,448.19,434.59,502.49,507.44
河北省,1828.84,1807.51,1771.15,1628.81,1596.26,1537.09,1385.59,1276.55,1134.90,1041.16
山西省,922.10,910.55,861.35,778.00,733.36,696.28,668.03,620.67,606.97,602.85
内蒙古自治区,783.65,774.62,692.38,641.29,642.17,609.97,576.33,561.85,554.97,536.53
辽宁省,740.91,737.49,745.91,703.64,741.15,702.38,653.88,648.06,633.96,610.24
吉林省,539.37,535.13,497.82,486.96,526.69,500.53,513.82,508.09,499.70,477.57
黑龙江省,616.10,608.69,594.39,570.95,562.42,555.13,544.38,573.11,558.87,549.66
上海市,1233.85,1206.14,1122.57,1039.47,1000.59,995.70,917.99,874.10,840.97,767.32
江苏省,2757.90,2709.98,2598.05,2563.41,2406.53,2213.84,2055.56,1979.57,1842.94,1746.22
浙江省,2474.82,2365.17,2197.26,2039.52,1881.09,1764.69,1572.47,1430.15,1300.03,1264.93
安徽省,1558.68,1516.66,1420.87,1315.66,1261.86,1222.21,1113.26,1014.91,910.87,856.73
福建省,1287.43,1257.68,1217.26,1079.81,1031.57,968.54,925.06,842.21,789.11,757.51
江西省,1393.43,1376.21,1320.01,1249.10,1223.59,1148.50,1054.41,940.57,848.88,793.27
山东省,2748.74,2713.74,2626.48,2411.09,2283.84,2156.14,2006.50,1890.00,1825.99,1690.62
河南省,2059.66,1993.35,1895.57,1786.41,1882.56,1810.71,1664.67,1493.11,1343.76,1271.00
湖北省,1390.05,1357.80,1279.08,1201.93,1192.02,1147.10,1065.64,1101.35,1047.37,913.05
湖南省,1601.41,1579.39,1500.39,1373.63,1325.25,1270.02,1186.72,1115.33,1032.37,928.54
广东省,4055.57,4004.45,3871.14,3796.69,3510.56,3210.51,2792.90,2575.52,2318.47,2040.65
广西壮族自治区,1226.35,1187.14,1141.72,1094.08,1061.10,1014.52,933.22,920.20,854.55,789.69
海南省,362.40,361.96,313.91,295.10,295.84,273.50,248.98,220.87,214.24,206.84
重庆市,858.62,855.97,822.17,794.95,754.97,728.26,680.99,626.30,575.18,536.24
四川省,1969.68,1949.20,1865.04,1733.04,1686.16,1578.88,1461.78,1389.20,1301.85,1252.33
贵州省,1209.83,1202.79,1155.33,1129.35,1073.34,1067.62,985.95,901.96,843.54,772.91
云南省,1197.62,1173.93,1164.89,1143.30,1162.02,1069.85,1077.43,998.33,871.14,767.46
西藏自治区,333.63,335.32,316.67,259.13,273.89,263.26,232.15,227.20,169.64,167.27
陕西省,1119.54,1089.44,1060.38,1025.00,998.58,951.23,871.44,828.25,777.53,758.07
甘肃省,723.88,715.57,699.58,661.92,662.99,636.05,592.96,567.35,548.95,498.33
青海省,232.08,234.05,220.95,221.21,218.14,221.37,199.10,187.51,171.36,163.19
宁夏回族自治区,225.39,223.69,212.35,200.01,208.42,179.33,170.47,170.65,152.57,142.51
新疆维吾尔自治区,1215.82,1174.15,1088.62,927.96,908.11,863.07,812.88,722.59,664.52,647.93
数据来源：国家统计局
