数据库：分省年度数据
指标：人口死亡率(‰)
时间：最近10年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,6.08,6.13,5.72,5.39,5.19,5.49,5.58,5.30,5.20,4.95
天津市,6.96,7.04,6.43,6.23,5.92,5.30,5.42,5.05,5.54,5.61
河北省,8.22,8.33,7.80,7.58,7.22,6.12,6.38,6.60,6.36,5.79
山西省,8.33,8.38,7.73,7.32,7.02,5.85,5.32,5.45,5.52,5.56
内蒙古自治区,8.36,8.42,7.83,7.54,7.30,5.66,5.95,5.74,5.69,5.32
辽宁省,9.62,9.69,9.04,8.89,8.59,7.25,7.39,6.93,6.78,6.59
吉林省,9.02,9.17,8.39,8.08,7.81,6.90,6.26,6.50,5.60,5.53
黑龙江省,9.69,9.84,9.09,8.70,8.23,6.74,6.67,6.63,6.61,6.60
上海市,6.28,6.37,5.96,5.59,5.58,5.50,5.40,5.30,5.00,5.07
江苏省,7.48,7.55,7.04,6.77,6.49,7.04,7.03,7.03,7.03,7.03
浙江省,6.53,6.66,6.24,5.90,6.56,5.52,5.58,5.56,5.52,5.50
安徽省,8.41,8.56,8.09,8.00,7.96,6.04,5.96,5.90,5.96,5.94
福建省,6.71,6.95,6.52,6.28,6.24,6.10,6.20,6.20,6.20,6.10
江西省,7.23,7.36,6.94,6.71,6.61,6.03,6.06,6.08,6.16,6.24
山东省,8.09,8.19,7.64,7.36,7.25,7.50,7.18,7.40,7.05,6.67
河南省,7.89,8.00,7.50,7.36,7.15,6.84,6.80,6.97,7.11,7.05
湖北省,8.52,8.63,8.09,7.86,7.67,7.08,7.00,7.01,6.97,5.83
湖南省,8.93,9.08,8.54,8.28,7.92,7.28,7.08,7.08,7.01,6.86
广东省,5.20,5.36,4.97,4.83,4.70,4.46,4.55,4.52,4.41,4.32
广西壮族自治区,7.49,7.62,7.08,6.80,6.46,6.14,5.96,6.22,5.95,6.15
海南省,6.31,6.47,6.16,6.01,5.85,6.11,6.01,6.01,6.00,6.00
重庆市,8.87,8.90,8.09,8.04,7.70,7.57,7.54,7.27,7.24,7.19
四川省,9.43,9.44,9.04,8.74,8.48,7.09,7.01,7.03,6.99,6.94
贵州省,7.74,7.77,7.32,7.19,7.17,6.95,6.85,6.88,6.93,7.20
云南省,8.45,8.61,8.21,8.12,7.92,6.20,6.32,6.68,6.55,6.48
西藏自治区,5.44,5.76,5.48,5.47,5.37,4.46,4.58,4.95,5.11,5.10
陕西省,8.05,8.14,7.64,7.38,7.11,6.28,6.24,6.24,6.23,6.28
甘肃省,8.90,9.04,8.51,8.26,7.91,6.75,6.65,6.52,6.18,6.15
青海省,7.41,7.57,7.23,6.91,6.65,6.08,6.25,6.17,6.18,6.17
宁夏回族自治区,6.45,6.59,6.19,6.09,5.88,5.69,5.54,4.75,4.72,4.58
新疆维吾尔自治区,6.05,6.17,5.76,5.60,5.46,4.45,4.56,4.48,4.26,4.51
数据来源：国家统计局
