数据库：分省年度数据
指标：每万人医疗机构床位数(张)
"时间：2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,64.60,63.51,61.32,59.51,58.00,59.33,57.39,55.58,53.86,51.40
天津市,53.70,53.16,50.29,50.02,49.20,43.71,43.75,43.94,42.15,41.17
河北省,74.10,72.24,65.45,61.09,59.20,56.65,55.84,52.53,48.26,46.07
山西省,66.70,67.03,65.60,65.79,64.10,58.58,56.03,53.36,51.52,50.00
内蒙古自治区,72.70,72.26,69.84,69.42,67.40,63.43,62.75,59.44,55.25,53.32
辽宁省,81.30,79.92,77.71,76.74,73.80,72.12,72.14,68.35,64.96,60.92
吉林省,76.70,78.53,75.47,74.34,71.90,63.30,61.76,56.55,55.32,52.48
黑龙江省,90.10,89.26,84.31,83.37,79.50,70.00,66.29,63.80,57.92,55.77
上海市,75.00,70.35,66.82,64.43,61.20,60.32,57.36,55.67,53.37,50.85
江苏省,70.90,67.89,66.11,64.50,63.10,63.94,61.05,58.43,55.39,51.86
浙江省,61.90,61.28,58.03,56.56,56.00,59.86,57.88,55.42,51.86,49.20
安徽省,73.30,74.09,72.45,67.24,66.80,54.57,51.89,48.88,45.47,43.53
福建省,59.40,57.87,55.49,53.45,52.20,50.90,48.84,46.63,45.11,45.07
江西省,75.60,75.46,69.45,68.03,63.30,57.25,53.68,50.64,45.54,43.33
山东省,75.50,72.96,68.25,66.27,63.70,62.53,60.56,58.45,54.39,52.74
河南省,78.20,79.21,76.20,72.99,67.10,66.41,63.35,58.48,54.72,51.65
湖北省,81.60,81.56,77.06,74.44,71.20,68.04,66.51,63.74,61.27,58.64
湖南省,80.00,81.29,82.44,80.44,78.20,73.19,69.93,65.94,62.41,58.52
广东省,50.40,49.47,48.06,46.43,44.80,47.32,45.56,44.06,42.29,40.16
广西壮族自治区,75.30,72.01,67.70,63.34,59.00,55.92,51.96,49.36,46.40,44.72
海南省,58.70,58.42,59.62,60.20,58.00,52.68,47.97,45.31,43.97,42.49
重庆市,77.70,80.10,78.06,74.95,73.50,74.19,70.96,67.11,62.61,58.53
四川省,85.50,84.68,81.67,79.08,77.70,75.43,71.80,67.87,62.84,59.58
贵州省,84.10,81.60,80.31,77.08,71.70,73.14,68.23,65.08,59.15,55.65
云南省,80.40,77.02,72.72,70.42,68.90,64.20,60.29,57.24,53.15,50.11
西藏自治区,58.10,59.04,54.91,53.69,50.90,48.67,48.80,47.78,43.67,43.25
陕西省,78.30,77.47,73.20,71.96,68.90,68.58,65.66,62.91,59.11,55.86
甘肃省,84.50,82.75,75.80,73.56,68.70,68.43,61.71,55.83,51.47,49.14
青海省,80.60,76.96,72.19,70.96,69.70,68.18,64.92,64.08,58.60,58.71
宁夏回族自治区,60.70,59.67,57.37,56.82,57.30,58.98,59.60,58.39,53.80,50.61
新疆维吾尔自治区,77.10,76.03,69.42,71.89,70.20,73.88,71.93,68.54,65.43,63.68
数据来源：国家统计局
