数据库：分省年度数据
指标：每万人拥有卫生技术人员数(人)
时间：最近10年
地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,148,143,135,132,126,126,119,113,108,104
天津市,102,98,91,89,82,70,67,65,61,59
河北省,95,87,79,75,70,65,61,57,53,50
山西省,92,86,82,81,77,69,66,63,61,58
内蒙古自治区,105,98,90,88,84,77,74,71,68,65
辽宁省,92,86,81,79,74,71,70,67,63,60
吉林省,105,99,93,92,88,70,68,62,61,58
黑龙江省,92,87,82,80,76,63,61,61,58,56
上海市,105,99,95,92,86,84,81,77,74,70
江苏省,92,87,84,81,79,78,73,68,65,61
浙江省,103,100,93,89,85,89,85,81,77,73
安徽省,85,83,77,71,68,57,53,50,47,46
福建省,81,78,74,70,67,66,63,59,57,55
江西省,84,80,69,68,63,57,53,51,48,46
山东省,98,92,86,84,80,78,74,69,65,63
河南省,91,88,82,77,71,68,65,61,57,55
湖北省,88,85,80,78,74,70,69,68,65,63
湖南省,87,87,79,76,75,73,63,61,58,55
广东省,79,77,72,69,66,69,67,63,60,57
广西壮族自治区,90,86,82,78,74,69,65,62,60,57
海南省,86,83,81,79,74,72,68,65,63,60
重庆市,89,85,79,77,74,72,67,62,59,55
四川省,91,89,83,80,76,72,67,64,60,58
贵州省,95,92,83,80,75,74,68,63,58,53
云南省,97,91,85,81,78,70,62,59,52,48
西藏自治区,87,81,73,70,62,60,55,49,45,44
陕西省,101,99,96,93,92,91,85,81,76,70
甘肃省,99,90,83,81,72,68,60,56,52,50
青海省,104,98,88,87,83,78,74,70,62,60
宁夏回族自治区,93,90,85,84,81,80,77,73,66,62
新疆维吾尔自治区,95,91,80,77,74,74,71,71,71,69
注：分母系常住人口数。
数据来源：国家统计局
