指标：平均预期寿命(岁),,,,
地区,2020年,2010年,2000年,1990年
北京市,82.49,80.18,76.1,72.86
天津市,81.3,78.89,74.91,72.32
河北省,77.75,74.97,72.54,70.35
山西省,77.91,74.92,71.65,68.97
内蒙古自治区,77.56,74.44,69.87,65.68
辽宁省,78.68,76.38,73.34,70.22
吉林省,78.41,76.18,73.1,67.95
黑龙江省,78.25,75.98,72.37,66.97
上海市,82.55,80.26,78.14,74.9
江苏省,79.32,76.63,73.91,71.37
浙江省,80.19,77.73,74.7,71.78
安徽省,77.96,75.08,71.85,69.48
福建省,78.49,75.76,72.55,68.57
江西省,77.64,74.33,68.95,66.11
山东省,79.18,76.46,73.92,70.57
河南省,77.6,74.57,71.54,70.15
湖北省,78,74.87,71.08,67.25
湖南省,77.88,74.7,70.66,66.93
广东省,79.31,76.49,73.27,72.52
广西壮族自治区,78.06,75.11,71.29,68.72
海南省,79.05,76.3,72.92,70.01
重庆市,78.56,75.7,71.73,
四川省,77.79,74.75,71.2,66.33
贵州省,75.2,71.1,65.96,64.29
云南省,74.02,69.54,65.49,63.64
西藏自治区,72.19,68.17,64.37,59.64
陕西省,77.8,74.68,70.07,67.4
甘肃省,75.64,72.23,67.47,67.24
青海省,73.96,69.96,66.03,60.57
宁夏回族自治区,76.58,73.38,70.17,66.94
新疆维吾尔自治区,75.65,72.35,67.41,62.59
