年份,地区,综合效率(TE),R_地方财政医疗卫生支出(亿元),R_医疗卫生机构数(个),R_每万人拥有卫生技术人员数(人),R_医院病床使用率(%),R_健康产出效益,Rank_Sum,RSR得分,Spearman相关系数,P值,相关性
2015年,北京市,0.539,14.0,25.0,1.0,7.0,28.0,75.0,0.484,0.628,0.0001535811365741997,强正相关
2015年,天津市,0.971,27.0,28.0,14.0,10.0,21.0,100.0,0.645,0.628,0.0001535811365741997,强正相关
2015年,河北省,0.902,6.0,2.0,26.5,17.0,20.0,71.5,0.461,0.628,0.0001535811365741997,强正相关
2015年,山西省,0.752,20.0,7.0,16.0,4.0,22.0,69.0,0.445,0.628,0.0001535811365741997,强正相关
2015年,内蒙古自治区,0.664,23.0,20.0,6.0,1.5,25.0,75.5,0.487,0.628,0.0001535811365741997,强正相关
2015年,辽宁省,0.791,21.0,11.0,12.0,20.0,8.5,72.5,0.468,0.628,0.0001535811365741997,强正相关
2015年,吉林省,0.772,25.0,22.0,16.0,5.0,23.0,91.0,0.587,0.628,0.0001535811365741997,强正相关
2015年,黑龙江省,0.825,22.0,21.0,20.0,9.0,8.5,80.5,0.519,0.628,0.0001535811365741997,强正相关
2015年,上海市,1.0,19.0,30.0,3.5,31.0,27.0,110.5,0.713,0.628,0.0001535811365741997,强正相关
2015年,江苏省,0.789,5.0,13.0,10.0,25.0,3.5,56.5,0.365,0.628,0.0001535811365741997,强正相关
2015年,浙江省,0.68,10.0,14.0,2.0,26.0,24.0,76.0,0.49,0.628,0.0001535811365741997,强正相关
2015年,安徽省,1.0,9.0,18.0,29.5,19.0,18.0,93.5,0.603,0.628,0.0001535811365741997,强正相关
2015年,福建省,0.824,17.0,16.0,22.5,12.0,16.0,83.5,0.539,0.628,0.0001535811365741997,强正相关
2015年,江西省,1.0,13.0,8.0,29.5,29.0,12.0,91.5,0.59,0.628,0.0001535811365741997,强正相关
2015年,山东省,0.682,3.0,3.0,7.5,18.0,7.0,38.5,0.248,0.628,0.0001535811365741997,强正相关
2015年,河南省,0.807,2.0,4.0,22.5,24.0,3.5,56.0,0.361,0.628,0.0001535811365741997,强正相关
2015年,湖北省,0.791,7.0,10.0,7.5,30.0,19.0,73.5,0.474,0.628,0.0001535811365741997,强正相关
2015年,湖南省,0.799,8.0,5.0,22.5,21.0,6.0,62.5,0.403,0.628,0.0001535811365741997,强正相关
2015年,广东省,0.91,1.0,6.0,18.5,16.0,31.0,72.5,0.468,0.628,0.0001535811365741997,强正相关
2015年,广西壮族自治区,0.845,12.0,12.0,18.5,28.0,14.5,85.0,0.548,0.628,0.0001535811365741997,强正相关
2015年,海南省,0.945,28.0,29.0,12.0,6.0,17.0,92.0,0.594,0.628,0.0001535811365741997,强正相关
2015年,重庆市,0.897,18.0,23.0,22.5,22.0,1.5,87.0,0.561,0.628,0.0001535811365741997,强正相关
2015年,四川省,0.786,4.0,1.0,16.0,27.0,5.0,53.0,0.342,0.628,0.0001535811365741997,强正相关
2015年,贵州省,0.83,16.0,15.0,25.0,8.0,1.5,65.5,0.423,0.628,0.0001535811365741997,强正相关
2015年,云南省,0.945,11.0,19.0,28.0,13.0,10.0,81.0,0.523,0.628,0.0001535811365741997,强正相关
2015年,西藏自治区,1.0,31.0,26.0,31.0,1.5,26.0,115.5,0.745,0.628,0.0001535811365741997,强正相关
2015年,陕西省,0.653,15.0,9.0,3.5,15.0,11.0,53.5,0.345,0.628,0.0001535811365741997,强正相关
2015年,甘肃省,0.907,24.0,17.0,26.5,11.0,14.5,93.0,0.6,0.628,0.0001535811365741997,强正相关
2015年,青海省,0.86,29.0,27.0,12.0,3.0,13.0,84.0,0.542,0.628,0.0001535811365741997,强正相关
2015年,宁夏回族自治区,1.0,30.0,31.0,9.0,14.0,29.0,113.0,0.729,0.628,0.0001535811365741997,强正相关
2015年,新疆维吾尔自治区,0.741,26.0,24.0,5.0,23.0,30.0,108.0,0.697,0.628,0.0001535811365741997,强正相关
2016年,北京市,0.547,14.0,25.0,1.0,10.5,26.0,76.5,0.494,0.644,9.149601959574107e-05,强正相关
2016年,天津市,0.971,27.0,28.0,15.0,9.0,24.0,103.0,0.665,0.644,9.149601959574107e-05,强正相关
2016年,河北省,0.875,7.0,2.0,26.0,22.0,12.0,69.0,0.445,0.644,9.149601959574107e-05,强正相关
2016年,山西省,0.726,21.0,7.0,15.0,4.0,24.0,71.0,0.458,0.644,9.149601959574107e-05,强正相关
2016年,内蒙古自治区,0.639,22.0,20.0,6.0,3.0,21.0,72.0,0.465,0.644,9.149601959574107e-05,强正相关
2016年,辽宁省,0.762,20.0,11.0,11.5,15.0,9.0,66.5,0.429,0.644,9.149601959574107e-05,强正相关
2016年,吉林省,0.746,24.0,21.0,15.0,7.0,22.0,89.0,0.574,0.644,9.149601959574107e-05,强正相关
2016年,黑龙江省,0.826,23.0,22.0,22.0,13.0,10.0,90.0,0.581,0.644,9.149601959574107e-05,强正相关
