年份,地区,综合效率(TE),纯技术效率(PTE),规模效率(SE),有效性,冗余_财政(亿元),冗余_机构(个),冗余_人员(人),不足_利用率(%),不足_健康效益,label,类别
2024年,北京市,0.636,0.976,0.652,非有效,344.089,0.0,0.0,0.0,0.0,2,低水平地区(PTE高/SE低)
2024年,天津市,0.861,0.935,0.92,非有效,0.0,0.0,0.0,0.0,0.003,1,高水平地区(PTE/SE双高)
2024年,河北省,0.729,0.786,0.928,非有效,0.0,52533.288,0.0,0.0,0.014,0,中水平地区(PTE低/SE中)
2024年,山西省,0.817,0.845,0.967,非有效,0.0,13325.359,0.0,0.0,0.017,0,中水平地区(PTE低/SE中)
2024年,内蒙古自治区,0.682,0.768,0.888,非有效,0.0,4859.955,0.0,0.0,0.008,0,中水平地区(PTE低/SE中)
2024年,辽宁省,0.796,0.821,0.969,非有效,0.0,13616.447,0.0,0.0,0.033,0,中水平地区(PTE低/SE中)
2024年,吉林省,0.727,0.818,0.888,非有效,0.0,10814.149,0.0,0.0,0.028,0,中水平地区(PTE低/SE中)
2024年,黑龙江省,0.802,0.825,0.972,非有效,0.0,394.647,0.0,0.0,0.034,0,中水平地区(PTE低/SE中)
2024年,上海市,1.0,1.0,1.0,有效,0.0,0.0,0.0,0.0,0.0,1,高水平地区(PTE/SE双高)
2024年,江苏省,0.873,0.925,0.944,非有效,378.358,0.0,0.0,0.0,0.025,1,高水平地区(PTE/SE双高)
2024年,浙江省,0.827,0.934,0.886,非有效,245.34,0.0,0.0,0.0,0.006,1,高水平地区(PTE/SE双高)
2024年,安徽省,0.9,0.918,0.98,非有效,156.323,0.0,0.0,0.0,0.025,1,高水平地区(PTE/SE双高)
2024年,福建省,1.0,1.0,1.0,有效,0.0,0.0,0.0,0.0,0.0,1,高水平地区(PTE/SE双高)
2024年,江西省,0.923,0.938,0.984,非有效,0.0,4542.556,0.0,0.0,0.009,1,高水平地区(PTE/SE双高)
2024年,山东省,0.799,0.88,0.909,非有效,0.0,36486.421,0.0,0.0,0.047,0,中水平地区(PTE低/SE中)
2024年,河南省,0.885,0.937,0.944,非有效,0.0,36402.154,0.0,0.0,0.044,1,高水平地区(PTE/SE双高)
2024年,湖北省,0.956,0.99,0.966,非有效,0.0,1048.09,0.0,0.0,0.046,1,高水平地区(PTE/SE双高)
2024年,湖南省,0.961,0.991,0.97,非有效,0.0,17350.189,0.0,0.0,0.053,1,高水平地区(PTE/SE双高)
