年份,地方财政医疗卫生支出(亿元),地方财政医疗卫生支出(亿元)_状态,医疗卫生机构床位数(万张),医疗卫生机构床位数(万张)_状态,医疗卫生机构数(个),医疗卫生机构数(个)_状态,人均财政卫生支出(元),人均财政卫生支出(元)_状态,每万人医疗卫生机构床位数(张),每万人医疗卫生机构床位数(张)_状态,每万人医疗卫生机构数(个),每万人医疗卫生机构数(个)_状态,每万人拥有卫生技术人员数(人),每万人拥有卫生技术人员数(人)_状态,总量基尼均值,人均基尼均值
2015年,0.291,较为均衡,0.347,相对合理,0.377,相对合理,0.149,绝对均衡,0.074,绝对均衡,0.228,较为均衡,0.088,绝对均衡,0.338,0.135
2016年,0.3,相对合理,0.35,相对合理,0.376,相对合理,0.15,绝对均衡,0.077,绝对均衡,0.229,较为均衡,0.088,绝对均衡,0.342,0.136
2017年,0.304,相对合理,0.351,相对合理,0.377,相对合理,0.162,绝对均衡,0.08,绝对均衡,0.227,较为均衡,0.084,绝对均衡,0.344,0.138
2018年,0.305,相对合理,0.352,相对合理,0.377,相对合理,0.173,绝对均衡,0.083,绝对均衡,0.224,较为均衡,0.082,绝对均衡,0.345,0.14
2019年,0.312,相对合理,0.352,相对合理,0.377,相对合理,0.18,绝对均衡,0.084,绝对均衡,0.218,较为均衡,0.077,绝对均衡,0.347,0.14
2020年,0.31,相对合理,0.355,相对合理,0.375,相对合理,0.184,绝对均衡,0.076,绝对均衡,0.211,较为均衡,0.068,绝对均衡,0.347,0.135
2021年,0.319,相对合理,0.356,相对合理,0.376,相对合理,0.172,绝对均衡,0.077,绝对均衡,0.207,较为均衡,0.064,绝对均衡,0.35,0.13
2022年,0.323,相对合理,0.36,相对合理,0.375,相对合理,0.233,较为均衡,0.077,绝对均衡,0.202,较为均衡,0.059,绝对均衡,0.353,0.143
2023年,0.306,相对合理,0.359,相对合理,0.373,相对合理,0.205,较为均衡,0.076,绝对均衡,0.197,绝对均衡,0.056,绝对均衡,0.346,0.133
2024年,0.299,较为均衡,0.359,相对合理,0.372,相对合理,0.193,绝对均衡,0.075,绝对均衡,0.196,绝对均衡,0.058,绝对均衡,0.343,0.13
