地区,年份,平均预期寿命(岁)
北京市,2020年,82.49
天津市,2020年,81.3
河北省,2020年,77.75
山西省,2020年,77.91
内蒙古自治区,2020年,77.56
辽宁省,2020年,78.68
吉林省,2020年,78.41
黑龙江省,2020年,78.25
上海市,2020年,82.55
江苏省,2020年,79.32
浙江省,2020年,80.19
安徽省,2020年,77.96
福建省,2020年,78.49
江西省,2020年,77.64
山东省,2020年,79.18
河南省,2020年,77.6
湖北省,2020年,78.0
湖南省,2020年,77.88
广东省,2020年,79.31
广西壮族自治区,2020年,78.06
海南省,2020年,79.05
重庆市,2020年,78.56
四川省,2020年,77.79
贵州省,2020年,75.2
云南省,2020年,74.02
西藏自治区,2020年,72.19
陕西省,2020年,77.8
甘肃省,2020年,75.64
青海省,2020年,73.96
宁夏回族自治区,2020年,76.58
新疆维吾尔自治区,2020年,75.65
北京市,2010年,80.18
天津市,2010年,78.89
河北省,2010年,74.97
山西省,2010年,74.92
内蒙古自治区,2010年,74.44
辽宁省,2010年,76.38
吉林省,2010年,76.18
黑龙江省,2010年,75.98
上海市,2010年,80.26
江苏省,2010年,76.63
浙江省,2010年,77.73
安徽省,2010年,75.08
福建省,2010年,75.76
江西省,2010年,74.33
山东省,2010年,76.46
河南省,2010年,74.57
湖北省,2010年,74.87
湖南省,2010年,74.7
广东省,2010年,76.49
广西壮族自治区,2010年,75.11
海南省,2010年,76.3
重庆市,2010年,75.7
四川省,2010年,74.75
贵州省,2010年,71.1
云南省,2010年,69.54
西藏自治区,2010年,68.17
陕西省,2010年,74.68
甘肃省,2010年,72.23
青海省,2010年,69.96
宁夏回族自治区,2010年,73.38
新疆维吾尔自治区,2010年,72.35
北京市,2000年,76.1
天津市,2000年,74.91
河北省,2000年,72.54
山西省,2000年,71.65
内蒙古自治区,2000年,69.87
辽宁省,2000年,73.34
吉林省,2000年,73.1
黑龙江省,2000年,72.37
上海市,2000年,78.14
江苏省,2000年,73.91
浙江省,2000年,74.7
安徽省,2000年,71.85
福建省,2000年,72.55
江西省,2000年,68.95
山东省,2000年,73.92
河南省,2000年,71.54
湖北省,2000年,71.08
湖南省,2000年,70.66
广东省,2000年,73.27
广西壮族自治区,2000年,71.29
海南省,2000年,72.92
重庆市,2000年,71.73
四川省,2000年,71.2
贵州省,2000年,65.96
云南省,2000年,65.49
西藏自治区,2000年,64.37
陕西省,2000年,70.07
甘肃省,2000年,67.47
青海省,2000年,66.03
宁夏回族自治区,2000年,70.17
新疆维吾尔自治区,2000年,67.41
北京市,1990年,72.86
天津市,1990年,72.32
河北省,1990年,70.35
山西省,1990年,68.97
内蒙古自治区,1990年,65.68
辽宁省,1990年,70.22
吉林省,1990年,67.95
黑龙江省,1990年,66.97
上海市,1990年,74.9
江苏省,1990年,71.37
浙江省,1990年,71.78
安徽省,1990年,69.48
福建省,1990年,68.57
江西省,1990年,66.11
山东省,1990年,70.57
河南省,1990年,70.15
湖北省,1990年,67.25
湖南省,1990年,66.93
广东省,1990年,72.52
广西壮族自治区,1990年,68.72
海南省,1990年,70.01
四川省,1990年,66.33
贵州省,1990年,64.29
云南省,1990年,63.64
西藏自治区,1990年,59.64
陕西省,1990年,67.4
甘肃省,1990年,67.24
青海省,1990年,60.57
宁夏回族自治区,1990年,66.94
新疆维吾尔自治区,1990年,62.59
