地区,年份,人口出生率(‰),地方财政教育支出(亿元),全体居民人均消费支出(元),地区生产总值(亿元),地区生产总值指数(上年=100),医疗卫生机构床位数(万张),医疗卫生机构数(个),地方财政医疗卫生支出(亿元),医院病床使用率(%),每万人拥有卫生技术人员数(人),每万人医疗机构床位数(张),年末常住人口(万人),人口自然增长率(‰),人口死亡率(‰)
北京市,2024年,6.09,1247.15,49748.0,49843.1,105.2,14.11,11273.0,647.55,80.5,148.0,64.6,2183.0,0.01,6.08
天津市,2024年,4.99,500.02,35804.0,18024.3,105.1,7.32,6939.0,196.24,76.5,102.0,53.7,1364.0,-1.97,6.96
河北省,2024年,5.9,1828.84,24253.0,47526.9,105.4,54.69,93648.0,821.28,68.6,95.0,74.1,7378.0,-2.32,8.22
山西省,2024年,6.94,922.1,21090.0,25494.7,102.3,22.99,38415.0,476.61,71.2,92.0,66.7,3446.0,-1.39,8.33
内蒙古自治区,2024年,5.52,783.65,28113.0,26314.6,105.8,17.36,26768.0,426.79,66.1,105.0,72.7,2388.0,-2.84,8.36
辽宁省,2024年,4.32,740.91,25963.0,32612.7,105.1,33.77,37137.0,449.28,68.9,92.0,81.3,4155.0,-5.3,9.62
吉林省,2024年,4.17,539.37,23118.0,14361.2,104.3,17.77,26540.0,319.11,68.8,105.0,76.7,2317.0,-4.85,9.02
黑龙江省,2024年,3.35,616.1,23467.0,16476.9,103.2,27.3,22535.0,425.24,69.0,92.0,90.1,3029.0,-6.34,9.69
上海市,2024年,4.75,1233.85,52722.0,53926.7,105.0,18.61,6421.0,732.22,91.8,105.0,75.0,2480.0,-1.53,6.28
江苏省,2024年,4.98,2757.9,37346.0,137008.0,105.8,60.41,41680.0,1228.79,79.6,92.0,70.9,8526.0,-2.5,7.48
浙江省,2024年,6.17,2474.82,45107.0,90130.6,105.5,41.32,39593.0,988.46,84.1,103.0,61.9,6670.0,-0.36,6.53
安徽省,2024年,6.17,1558.68,24996.0,50625.2,105.8,44.9,32635.0,768.43,75.5,85.0,73.3,6123.0,-2.24,8.41
福建省,2024年,6.95,1287.43,33876.0,57761.0,105.5,24.89,30543.0,566.86,79.9,81.0,59.4,4193.0,0.24,6.71
江西省,2024年,6.65,1393.43,24726.0,34202.5,105.1,34.05,39392.0,681.71,76.7,84.0,75.6,4502.0,-0.58,7.23
山东省,2024年,6.42,2748.74,25645.0,98565.8,105.7,76.1,90070.0,1177.4,78.1,98.0,75.5,10080.0,-1.67,8.09
河南省,2024年,7.78,2059.66,21956.0,63590.0,105.1,76.51,86702.0,1109.37,80.3,91.0,78.2,9785.0,-0.11,7.89
湖北省,2024年,5.38,1390.05,27888.0,60013.0,105.8,47.58,38897.0,753.78,83.3,88.0,81.6,5834.0,-3.14,8.52
湖南省,2024年,5.89,1601.41,26760.0,53231.0,104.8,52.32,57611.0,829.22,82.9,87.0,80.0,6539.0,-3.04,8.93
广东省,2024年,8.89,4055.57,35818.0,141633.8,103.5,64.44,66125.0,1626.91,80.2,79.0,50.4,12780.0,3.69,5.2
广西壮族自治区,2024年,8.37,1226.35,21150.0,28649.4,104.2,37.73,34685.0,626.15,85.1,90.0,75.3,5013.0,0.88,7.49
海南省,2024年,9.37,362.4,25908.0,7935.7,103.7,6.15,6382.0,212.31,70.9,86.0,58.7,1048.0,3.06,6.31
重庆市,2024年,5.99,858.62,27451.0,32193.2,105.7,24.79,23815.0,435.67,81.6,89.0,77.7,3190.0,-2.88,8.87
四川省,2024年,6.41,1969.68,24878.0,64697.0,105.7,71.49,74797.0,1172.45,85.8,91.0,85.5,8364.0,-3.02,9.43
贵州省,2024年,10.74,1209.83,20871.0,22667.1,105.3,32.48,30869.0,597.0,81.3,95.0,84.1,3860.0,3.0,7.74
云南省,2024年,8.62,1197.62,22280.0,31534.1,103.3,37.42,29667.0,731.97,79.3,97.0,80.4,4655.0,0.17,8.45
西藏自治区,2024年,13.87,333.63,18983.0,2764.9,106.3,2.15,7233.0,172.89,59.5,87.0,58.1,370.0,8.43,5.44
陕西省,2024年,7.36,1119.54,23213.0,35538.8,105.3,30.97,35426.0,633.82,77.8,101.0,78.3,3953.0,-0.69,8.05
甘肃省,2024年,8.0,723.88,19829.0,13002.9,105.8,20.77,26741.0,419.1,75.9,99.0,84.5,2458.0,-0.9,8.9
青海省,2024年,10.11,232.08,21204.0,3950.8,102.7,4.78,6914.0,180.47,71.8,104.0,80.6,593.0,2.7,7.41
宁夏回族自治区,2024年,10.97,225.39,22865.0,5502.8,105.4,4.43,4986.0,126.88,80.5,93.0,60.7,729.0,4.52,6.45
新疆维吾尔自治区,2024年,9.42,1215.82,21364.0,20534.1,106.1,20.22,19112.0,518.79,86.2,95.0,77.1,2623.0,3.37,6.05
