年份,卫生总费用(亿元),政府卫生支出(亿元),社会卫生支出(亿元),个人现金卫生支出(亿元),人均卫生费用(元)
2024年,90895.55,22608.01,43280.01,25007.53,6454.37
2023年,90575.81,24147.89,41676.8,24751.13,6425.32
2022年,85327.49,24040.89,38345.67,22940.94,6044.09
2021年,76844.99,20676.06,34963.26,21205.67,5439.97
2020年,72175.0,21941.9,30273.67,19959.43,5112.34
2019年,65841.39,18016.95,29150.57,18673.87,4669.34
2018年,59121.91,16399.13,25810.78,16911.99,4206.74
2017年,52598.28,15205.87,22258.81,15133.6,3756.72
2016年,46344.88,13910.31,19096.68,13337.9,3328.61
2015年,40974.64,12475.28,16506.71,11992.65,2962.18
